dataset,shot,metric,hybridsn_mean,qnn_mean,delta,better_model
indian_pines,5,mean_inter_distance,1.1300498710685791,1.1405007039114816,0.010450832842902491,spectral_qnn_gated_proto
indian_pines,5,separation_ratio,2.5889456964496644,2.3250545046797404,-0.26389119176992404,hybridsn_small
indian_pines,5,mean_margin,0.24972619517043446,0.2339201705745307,-0.015806024595903745,hybridsn_small
indian_pines,5,median_margin,0.390162087759237,0.3513236619142834,-0.03883842584495362,hybridsn_small
indian_pines,5,safe_margin_rate,0.7010973663208301,0.7049880287310455,0.0038906624102154064,spectral_qnn_gated_proto
indian_pines,5,mean_intra_distance,0.4368705821562199,0.4908377531489587,0.053967170992738844,hybridsn_small
indian_pines,5,negative_margin_rate,0.27958898643256186,0.2718276137270551,-0.007761372705506753,spectral_qnn_gated_proto
indian_pines,5,low_margin_rate,0.01931364724660814,0.02318435754189944,0.0038707102952913013,hybridsn_small
indian_pines,10,mean_inter_distance,1.1172494802449322,1.1223174376623728,0.005067957417440594,spectral_qnn_gated_proto
indian_pines,10,separation_ratio,3.1047483090800116,2.794523633820817,-0.3102246752591946,hybridsn_small
indian_pines,10,mean_margin,0.3722715714262626,0.3524245764193127,-0.01984699500694992,hybridsn_small
indian_pines,10,median_margin,0.4712241942188468,0.4284555504042998,-0.042768643814547036,hybridsn_small
indian_pines,10,safe_margin_rate,0.7801950336784961,0.7855433799135418,0.0053483462350457645,spectral_qnn_gated_proto
indian_pines,10,mean_intra_distance,0.36053675379412375,0.4021605076722949,0.04162375387817113,hybridsn_small
indian_pines,10,negative_margin_rate,0.19611943299487283,0.1868704131899065,-0.00924901980496634,spectral_qnn_gated_proto
indian_pines,10,low_margin_rate,0.023685533326631144,0.027586206896551724,0.00390067356992058,hybridsn_small
pavia_university,5,mean_inter_distance,1.2186524433717685,1.231847177581448,0.013194734209679426,spectral_qnn_gated_proto
pavia_university,5,separation_ratio,2.579363923381756,2.390353406435456,-0.18901051694629967,hybridsn_small
pavia_university,5,mean_margin,0.37342555912245745,0.37598969205172156,0.002564132929264107,spectral_qnn_gated_proto
pavia_university,5,median_margin,0.5032453404655854,0.47483909563528515,-0.028406244830300298,hybridsn_small
pavia_university,5,safe_margin_rate,0.7399545038812411,0.7598320864895289,0.01987758260828787,spectral_qnn_gated_proto
pavia_university,5,mean_intra_distance,0.4742070189639046,0.5177823970485094,0.043575378084604766,hybridsn_small
pavia_university,5,negative_margin_rate,0.24063694566262517,0.21978846649937855,-0.020848479163246614,spectral_qnn_gated_proto
pavia_university,5,low_margin_rate,0.019408550456133766,0.02037944701109261,0.0009708965549588451,hybridsn_small
pavia_university,10,mean_inter_distance,1.189199843360737,1.203386910187876,0.014187066827139105,spectral_qnn_gated_proto
pavia_university,10,separation_ratio,3.135510357800773,2.8455549694589024,-0.2899553883418706,hybridsn_small
pavia_university,10,mean_margin,0.4956040570006716,0.48989226750521464,-0.005711789495456976,hybridsn_small
pavia_university,10,median_margin,0.6408507088088287,0.6119725438616092,-0.02887816494721951,hybridsn_small
pavia_university,10,safe_margin_rate,0.8328810216921777,0.8507794159075969,0.017898394215419167,spectral_qnn_gated_proto
pavia_university,10,mean_intra_distance,0.3826046628941195,0.42624077502094365,0.04363611212682417,hybridsn_small
pavia_university,10,negative_margin_rate,0.15126302939243122,0.13683913982533571,-0.014423889567095505,spectral_qnn_gated_proto
pavia_university,10,low_margin_rate,0.015855948915391115,0.01238144426706733,-0.003474504648323785,spectral_qnn_gated_proto
salinas,5,mean_inter_distance,1.2127865915247418,1.2119876302963708,-0.0007989612283709757,hybridsn_small
salinas,5,separation_ratio,6.599356788126082,5.560455234948766,-1.0389015531773156,hybridsn_small
salinas,5,mean_margin,0.4916732508894584,0.48144193951278724,-0.01023131137667116,hybridsn_small
salinas,5,median_margin,0.52975754455432,0.5410550113876543,0.011297466833334324,spectral_qnn_gated_proto
salinas,5,safe_margin_rate,0.8334762196366606,0.8294160218226354,-0.004060197814025224,hybridsn_small
salinas,5,mean_intra_distance,0.18571453846161998,0.21960125437741834,0.033886715915798366,hybridsn_small
salinas,5,negative_margin_rate,0.11974243352075561,0.12797416912542448,0.00823173560466886,hybridsn_small
salinas,5,low_margin_rate,0.04678134684258383,0.042609809051940103,-0.004171537790643727,spectral_qnn_gated_proto
salinas,10,mean_inter_distance,1.233901364031429,1.232265413605337,-0.0016359504260918811,hybridsn_small
salinas,10,separation_ratio,8.082331334383074,6.836619235138367,-1.2457120992447068,hybridsn_small
salinas,10,mean_margin,0.5673711224503543,0.5569971706564728,-0.010373951793881453,hybridsn_small
salinas,10,median_margin,0.6769296458611876,0.6604802497062012,-0.016449396154986418,hybridsn_small
salinas,10,safe_margin_rate,0.8578081733538999,0.8494229589845566,-0.008385214369343363,hybridsn_small
salinas,10,mean_intra_distance,0.15324946612038778,0.180744675787957,0.027495209667569215,hybridsn_small
salinas,10,negative_margin_rate,0.057109405489787955,0.07180583173818507,0.014696426248397114,hybridsn_small
salinas,10,low_margin_rate,0.08508242115631214,0.07877120927725845,-0.006311211879053688,spectral_qnn_gated_proto
