dataset,shot,model,true_label,classwise_mean_gate_value,classwise_std_gate_value
pavia_university,5,spectral_qnn_gated_supcon,0,0.538464784245309,0.15089937357859728
pavia_university,5,spectral_qnn_gated_supcon,1,0.5563493133023606,0.10963238004629224
pavia_university,5,spectral_qnn_gated_supcon,2,0.5245447077181236,0.15679154425617875
pavia_university,5,spectral_qnn_gated_supcon,3,0.561307593025092,0.06136856170174676
pavia_university,5,spectral_qnn_gated_supcon,4,0.5578885219823149,0.11077224534871576
pavia_university,5,spectral_qnn_gated_supcon,5,0.5601529579209911,0.14153890027519397
pavia_university,5,spectral_qnn_gated_supcon,6,0.5454868843856873,0.19215915560455674
pavia_university,5,spectral_qnn_gated_supcon,7,0.5335499640933796,0.14967723130287489
pavia_university,5,spectral_qnn_gated_supcon,8,0.5278576251188658,0.06669177628984763
pavia_university,10,spectral_qnn_gated_supcon,0,0.5882372026372436,0.1435301040689379
pavia_university,10,spectral_qnn_gated_supcon,1,0.6019687886584675,0.12821360202069093
pavia_university,10,spectral_qnn_gated_supcon,2,0.5108431858905179,0.1320708133671495
pavia_university,10,spectral_qnn_gated_supcon,3,0.6263549399556061,0.0804366199193866
pavia_university,10,spectral_qnn_gated_supcon,4,0.560835301885065,0.0985355828867498
pavia_university,10,spectral_qnn_gated_supcon,5,0.5982450965434212,0.16081497623763827
pavia_university,10,spectral_qnn_gated_supcon,6,0.5609151624086249,0.15441148853527428
pavia_university,10,spectral_qnn_gated_supcon,7,0.5277573875028992,0.12073450967705093
pavia_university,10,spectral_qnn_gated_supcon,8,0.574701165008442,0.08058697497260553
salinas,5,spectral_qnn_gated_supcon,0,0.6297599126785665,0.06090444355355602
salinas,5,spectral_qnn_gated_supcon,1,0.6259914155004481,0.059028435223496635
salinas,5,spectral_qnn_gated_supcon,2,0.5137891004396786,0.06289286176337511
salinas,5,spectral_qnn_gated_supcon,3,0.5151666451226636,0.05377182078684582
salinas,5,spectral_qnn_gated_supcon,4,0.5030695355099661,0.07168717314944069
salinas,5,spectral_qnn_gated_supcon,5,0.5803208567383444,0.044089359683935646
salinas,5,spectral_qnn_gated_supcon,6,0.6204906003108597,0.04780220962011651
salinas,5,spectral_qnn_gated_supcon,7,0.5678443602449773,0.05826014887696055
salinas,5,spectral_qnn_gated_supcon,8,0.5749805790661764,0.07517763941949686
salinas,5,spectral_qnn_gated_supcon,9,0.6031057649326588,0.0815081763697662
salinas,5,spectral_qnn_gated_supcon,10,0.5934481809621522,0.07131522943889598
salinas,5,spectral_qnn_gated_supcon,11,0.5868716940127905,0.09929257456781064
salinas,5,spectral_qnn_gated_supcon,12,0.6067695171666331,0.0758229084598589
salinas,5,spectral_qnn_gated_supcon,13,0.6260883855537216,0.039036648197412004
salinas,5,spectral_qnn_gated_supcon,14,0.5649825387587469,0.05869144932100946
salinas,5,spectral_qnn_gated_supcon,15,0.5668305208374347,0.05281935735221696
salinas,10,spectral_qnn_gated_supcon,0,0.6031466207353238,0.057502780880199444
salinas,10,spectral_qnn_gated_supcon,1,0.6042958266659164,0.05654131718209475
salinas,10,spectral_qnn_gated_supcon,2,0.5386266462276318,0.06817315861459247
salinas,10,spectral_qnn_gated_supcon,3,0.5190356498939328,0.04466940083782361
salinas,10,spectral_qnn_gated_supcon,4,0.5343097577380272,0.07274901859952707
salinas,10,spectral_qnn_gated_supcon,5,0.5604154851252611,0.09025394097301745
salinas,10,spectral_qnn_gated_supcon,6,0.5872005479946737,0.04865731637373958
salinas,10,spectral_qnn_gated_supcon,7,0.5420099788242505,0.05093929497347391
salinas,10,spectral_qnn_gated_supcon,8,0.5873293463223269,0.09165872308071339
salinas,10,spectral_qnn_gated_supcon,9,0.5867656034677581,0.10540544183725666
salinas,10,spectral_qnn_gated_supcon,10,0.5955855508000796,0.09254516218871262
salinas,10,spectral_qnn_gated_supcon,11,0.5760641034667131,0.11396415698300205
salinas,10,spectral_qnn_gated_supcon,12,0.577266836192991,0.08597844063966857
salinas,10,spectral_qnn_gated_supcon,13,0.5889427924156189,0.060892054294457924
salinas,10,spectral_qnn_gated_supcon,14,0.5377896308224591,0.0525309920663215
salinas,10,spectral_qnn_gated_supcon,15,0.5527290051418373,0.038602969699929435
