analysis_type,class_id,class_name,delta_f1,delta_recall,interpretation
per_class_f1_delta,14.0,Vinyard_untrained,-0.1789936399150277,-0.18065673289183226,degraded
per_class_f1_delta,7.0,Grapes_untrained,-0.07296786450659387,-0.04998666785174655,degraded
per_class_f1_delta,15.0,Vinyard_vertical_trellis,-0.002430303929296884,0.002574146614437667,near_neutral
per_class_f1_delta,2.0,Fallow,-0.001685878171309163,0.00010224948875259265,near_neutral
per_class_f1_delta,11.0,Lettuce_romaine_5wk,-0.0007421975106739476,0.004614577871001724,near_neutral
per_class_f1_delta,0.0,Brocoli_green_weeds_1,-0.0005536622798965052,-0.0009049773755656076,near_neutral
per_class_f1_delta,1.0,Brocoli_green_weeds_2,-0.00037821797361259346,-0.0004856988667027995,near_neutral
per_class_f1_delta,9.0,Corn_senesced_green_weeds,0.0003806989512851189,-0.0007366482504604921,near_neutral
per_class_f1_delta,8.0,Soil_vinyard_develop,0.0006873527729521767,0.0,near_neutral
per_class_f1_delta,10.0,Lettuce_romaine_4wk,0.002845363874489415,-0.00400763358778633,near_neutral
per_class_f1_delta,6.0,Celery,0.01101421388272561,0.019893228434953447,near_neutral
per_class_f1_delta,5.0,Stubble,0.013708698975601452,0.0063975628332062495,near_neutral
per_class_f1_delta,13.0,Lettuce_romaine_7wk,0.021682442009848146,0.012380952380952492,improved
per_class_f1_delta,12.0,Lettuce_romaine_6wk,0.03257643096323404,0.04598214285714286,improved
per_class_f1_delta,4.0,Fallow_smooth,0.03971480615575773,0.06162528216704266,improved
per_class_f1_delta,3.0,Fallow_rough_plow,0.058603245005805715,0.0033478893740902516,improved
seedwise_OA_delta,,seed_0,,,negative_transfer
seedwise_OA_delta,,seed_1,,,negative_transfer
seedwise_OA_delta,,seed_2,,,negative_transfer
seedwise_OA_delta,,seed_3,,,improved
seedwise_OA_delta,,seed_4,,,negative_transfer
seedwise_Macro-F1_delta,,seed_0,-0.01583155426315097,,negative_transfer
seedwise_Macro-F1_delta,,seed_1,-0.008235248789312588,,negative_transfer
seedwise_Macro-F1_delta,,seed_2,-0.006768254255999362,,negative_transfer
seedwise_Macro-F1_delta,,seed_3,0.005761050908213217,,improved
seedwise_Macro-F1_delta,,seed_4,0.0011557214956520179,,improved
