run_id,model,seed,best_val_macro_f1,best_val_oa,best_val_aa,epochs_ran,training_time_seconds
linear_probe_seed0,linear_probe,0,0.9790263631686676,0.9892682926829268,0.9920796511817054,9,0.467653751373291
mlp_probe_seed0,mlp_probe,0,0.9906486887819688,0.9882926829268293,0.9919843925699386,12,0.7268939018249512
residual_qnn_seed0,residual_qnn,0,0.9850703691627538,0.9775609756097561,0.9835904377392288,11,35.135658264160156
gated_residual_qnn_seed0,gated_residual_qnn,0,0.9880795831260158,0.9824390243902439,0.9884384716091328,12,38.74758005142212
linear_probe_seed1,linear_probe,1,0.9775405478626402,0.9873170731707317,0.99006005013977,8,0.39023900032043457
mlp_probe_seed1,mlp_probe,1,0.9836856139421144,0.9882926829268293,0.9768060946324258,8,0.49444079399108887
residual_qnn_seed1,residual_qnn,1,0.9921403788413208,0.9853658536585366,0.9920840159104938,12,36.179009199142456
gated_residual_qnn_seed1,gated_residual_qnn,1,0.9778202656651496,0.9795121951219512,0.9718780871145161,12,36.056222915649414
linear_probe_seed2,linear_probe,2,0.9788338761397091,0.9882926829268293,0.991020329147807,8,0.35761284828186035
mlp_probe_seed2,mlp_probe,2,0.9801575807202582,0.9902439024390244,0.9929317062557594,12,0.6695458889007568
residual_qnn_seed2,residual_qnn,2,0.9816902733791032,0.9873170731707317,0.9756959107213216,12,34.76202607154846
gated_residual_qnn_seed2,gated_residual_qnn,2,0.9893703063505624,0.9873170731707317,0.9896903999350857,12,34.88389301300049
linear_probe_seed3,linear_probe,3,0.980568284121538,0.9863414634146341,0.9747509992508998,7,0.32453203201293945
mlp_probe_seed3,mlp_probe,3,0.9815625578270274,0.9863414634146341,0.9756160196471702,7,0.4146401882171631
residual_qnn_seed3,residual_qnn,3,0.9838724252541401,0.9902439024390244,0.9777833728419206,12,34.906440019607544
gated_residual_qnn_seed3,gated_residual_qnn,3,0.9929794008554509,0.9892682926829268,0.9925342469677947,12,35.45179891586304
linear_probe_seed4,linear_probe,4,0.980558533201788,0.9853658536585366,0.9749716897502629,8,0.3594539165496826
mlp_probe_seed4,mlp_probe,4,0.9933781968269397,0.9902439024390244,0.9930754245293332,11,0.6300690174102783
residual_qnn_seed4,residual_qnn,4,0.9855374474800431,0.9902439024390244,0.979318075865821,12,34.95059895515442
gated_residual_qnn_seed4,gated_residual_qnn,4,0.9833512511920659,0.9882926829268293,0.9767019800079505,12,35.29388999938965
