class_id,class_name,precision,recall,f1,support
0,Alfalfa,0.23741007194244604,1.0,0.38372093023255816,33
1,Corn-notill,0.7638533674339301,0.6341118188251946,0.6929621036349575,1413
2,Corn-mintill,0.7751479289940828,0.4822085889570552,0.594553706505295,815
3,Corn,0.9043062200956937,0.8513513513513513,0.877030162412993,222
4,Grass-pasture,0.9969325153374233,0.6944444444444444,0.818639798488665,468
5,Grass-trees,0.8764367816091954,0.8531468531468531,0.8646350106307583,715
6,Grass-pasture-mowed,0.25333333333333335,1.0,0.40425531914893614,19
7,Hay-windrowed,0.7602627257799671,1.0,0.8638059701492538,463
8,Oats,0.125,1.0,0.2222222222222222,12
9,Soybean-notill,0.7875,0.8557993730407524,0.8202303455182774,957
10,Soybean-mintill,0.9287833827893175,0.6413934426229508,0.7587878787878788,2440
11,Soybean-clean,0.27768860353130015,0.5986159169550173,0.3793859649122807,578
12,Wheat,0.5416666666666666,0.9578947368421052,0.6920152091254753,190
13,Woods,0.9196822594880847,0.8336,0.8745279060008393,1250
14,Buildings-Grass-Trees-Drives,0.5576923076923077,0.8598382749326146,0.6765641569459173,371
15,Stone-Steel-Towers,0.42857142857142855,1.0,0.6,78
