run_id,model,train_fraction,train_size,seed,best_val_macro_f1,best_val_oa,best_val_aa,epochs_ran,training_time_seconds
linear_probe_f0.01_seed0,linear_probe,0.01,16,0,0.9415454135158652,0.9795121951219512,0.9833559564163105,20,0.3806331157684326
mlp_probe_f0.01_seed0,mlp_probe,0.01,16,0,0.9485426189461721,0.975609756097561,0.9824852034061018,17,0.302659273147583
residual_qnn_f0.01_seed0,residual_qnn,0.01,16,0,0.8821215821927894,0.9307317073170732,0.9148755957301979,20,28.60498571395874
gated_residual_qnn_f0.01_seed0,gated_residual_qnn,0.01,16,0,0.9032526708507865,0.9551219512195122,0.9595581211852289,20,28.73797607421875
linear_probe_f0.01_seed1,linear_probe,0.01,16,1,0.9730010380775824,0.9804878048780488,0.9869757617340342,19,0.3011019229888916
mlp_probe_f0.01_seed1,mlp_probe,0.01,16,1,0.9642268304701802,0.984390243902439,0.9890914954337181,20,0.34762001037597656
residual_qnn_f0.01_seed1,residual_qnn,0.01,16,1,0.9030942705187095,0.9317073170731708,0.9499400896568523,20,28.856105089187622
gated_residual_qnn_f0.01_seed1,gated_residual_qnn,0.01,16,1,0.9407045836303564,0.9658536585365853,0.9696989865950942,20,28.9232656955719
linear_probe_f0.01_seed2,linear_probe,0.01,16,2,0.9582983447438524,0.9814634146341463,0.9864607813734356,20,0.3178129196166992
mlp_probe_f0.01_seed2,mlp_probe,0.01,16,2,0.9511923568231537,0.975609756097561,0.9829903206331533,20,0.3473050594329834
residual_qnn_f0.01_seed2,residual_qnn,0.01,16,2,0.8996236262400779,0.9482926829268292,0.9638301690966289,20,28.736763954162598
gated_residual_qnn_f0.01_seed2,gated_residual_qnn,0.01,16,2,0.9185217151654842,0.9570731707317073,0.9726687895762718,20,28.89664387702942
linear_probe_f0.03_seed0,linear_probe,0.03,31,0,0.9308093414294565,0.9746341463414634,0.9766483701325264,20,0.32890892028808594
mlp_probe_f0.03_seed0,mlp_probe,0.03,31,0,0.9308440592261251,0.975609756097561,0.9771706410057541,18,0.31675291061401367
residual_qnn_f0.03_seed0,residual_qnn,0.03,31,0,0.9042835145669901,0.9580487804878048,0.944346606084292,20,28.996976852416992
gated_residual_qnn_f0.03_seed0,gated_residual_qnn,0.03,31,0,0.899313410775832,0.9424390243902439,0.9158177019206676,14,20.551823139190674
linear_probe_f0.03_seed1,linear_probe,0.03,31,1,0.957210518936914,0.9707317073170731,0.9765223934601348,20,0.3231983184814453
mlp_probe_f0.03_seed1,mlp_probe,0.03,31,1,0.9446868423606373,0.9746341463414634,0.9778805009176906,20,0.3564469814300537
residual_qnn_f0.03_seed1,residual_qnn,0.03,31,1,0.951893957743795,0.9726829268292683,0.9613098867791906,20,29.028092861175537
gated_residual_qnn_f0.03_seed1,gated_residual_qnn,0.03,31,1,0.9410257600546423,0.9639024390243902,0.9391973742455866,19,28.092726945877075
linear_probe_f0.03_seed2,linear_probe,0.03,31,2,0.9585855933710117,0.9824390243902439,0.9853502047275231,20,0.33531999588012695
mlp_probe_f0.03_seed2,mlp_probe,0.03,31,2,0.9429692794331099,0.9678048780487805,0.9691990735153392,15,0.2731750011444092
residual_qnn_f0.03_seed2,residual_qnn,0.03,31,2,0.9271152079529243,0.9775609756097561,0.9450767706964488,20,29.306799173355103
gated_residual_qnn_f0.03_seed2,gated_residual_qnn,0.03,31,2,0.9121436362307488,0.9765853658536585,0.9749090151099743,20,29.656810998916626
linear_probe_f0.05_seed0,linear_probe,0.05,51,0,0.9755735214225492,0.9853658536585366,0.9888441199403478,20,0.35858702659606934
mlp_probe_f0.05_seed0,mlp_probe,0.05,51,0,0.9800136121828233,0.9853658536585366,0.9749716897502629,15,0.2992548942565918
residual_qnn_f0.05_seed0,residual_qnn,0.05,51,0,0.9436943720430468,0.9629268292682926,0.9541799179470196,15,22.520389080047607
gated_residual_qnn_f0.05_seed0,gated_residual_qnn,0.05,51,0,0.9448132284906419,0.9717073170731707,0.9629130159053587,20,30.198687076568604
linear_probe_f0.05_seed1,linear_probe,0.05,51,1,0.9725733343768643,0.9804878048780488,0.9818335498676503,17,0.2969808578491211
mlp_probe_f0.05_seed1,mlp_probe,0.05,51,1,0.9640392833973789,0.9804878048780488,0.9817881711392358,16,0.3095850944519043
residual_qnn_f0.05_seed1,residual_qnn,0.05,51,1,0.9566676069822809,0.9765853658536585,0.9609651804120287,20,30.17575979232788
gated_residual_qnn_f0.05_seed1,gated_residual_qnn,0.05,51,1,0.9708531524002888,0.9785365853658536,0.9803150940966172,20,30.34827494621277
linear_probe_f0.05_seed2,linear_probe,0.05,51,2,0.9885099385411641,0.984390243902439,0.9871657740731399,16,0.2796800136566162
mlp_probe_f0.05_seed2,mlp_probe,0.05,51,2,0.9931515060076226,0.9892682926829268,0.992347718544738,18,0.3539547920227051
residual_qnn_f0.05_seed2,residual_qnn,0.05,51,2,0.9739339053569683,0.975609756097561,0.9820420617106628,20,30.14539384841919
gated_residual_qnn_f0.05_seed2,gated_residual_qnn,0.05,51,2,0.9679775257309842,0.9726829268292683,0.9653992265067716,20,30.133071184158325
linear_probe_f0.1_seed0,linear_probe,0.1,102,0,0.9757405566591192,0.9824390243902439,0.9875688836860523,19,0.3678450584411621
mlp_probe_f0.1_seed0,mlp_probe,0.1,102,0,0.9764634814680162,0.9853658536585366,0.9886723473200942,14,0.3057217597961426
residual_qnn_f0.1_seed0,residual_qnn,0.1,102,0,0.958186263551071,0.9726829268292683,0.9628075082396624,20,32.082756996154785
gated_residual_qnn_f0.1_seed0,gated_residual_qnn,0.1,102,0,0.9090523581258872,0.9717073170731707,0.9040625659782122,20,32.32133197784424
linear_probe_f0.1_seed1,linear_probe,0.1,102,1,0.9718880172115809,0.9785365853658536,0.9615049461150731,14,0.2697732448577881
mlp_probe_f0.1_seed1,mlp_probe,0.1,102,1,0.9772135689879908,0.9814634146341463,0.9717407260357156,12,0.2659320831298828
residual_qnn_f0.1_seed1,residual_qnn,0.1,102,1,0.9722086937463654,0.9736585365853658,0.9679725040839744,20,32.12182092666626
gated_residual_qnn_f0.1_seed1,gated_residual_qnn,0.1,102,1,0.984682949331183,0.9795121951219512,0.986542808106479,20,32.23501801490784
linear_probe_f0.1_seed2,linear_probe,0.1,102,2,0.9772061219179662,0.9853658536585366,0.9889786573057998,16,0.3098640441894531
mlp_probe_f0.1_seed2,mlp_probe,0.1,102,2,0.9793388015731611,0.9902439024390244,0.9913712389509588,12,0.2638661861419678
residual_qnn_f0.1_seed2,residual_qnn,0.1,102,2,0.9776257528194625,0.9824390243902439,0.9696355637753484,20,31.943198919296265
gated_residual_qnn_f0.1_seed2,gated_residual_qnn,0.1,102,2,0.9425470840692571,0.9726829268292683,0.929327088564025,20,32.26760172843933
